,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_def,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Max Aarons,eng ENG,DF,Norwich City,21-227,2000,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,58.0,65.0,89.2,1028.0,251.0,24.0,25.0,96.0,29.0,31.0,93.5,4.0,7.0,57.1,0.0,1.0,1.0,1.0,0.0,3.0,55.0,10.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,10.0,7.0,10.0,45.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,10.0,4.0,40.0,5.0,4.0,1.0,4.0,3.0,0.0,1.0,4.0,3.0,0.0,80.0,7.0,34.0,37.0,15.0,0.0,70.0,3.0,3.0,100.0,3.0,0.0,52.0,327.0,206.0,6.0,1.0,0.0,57.0,52.0,91.2,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,20.0
1,Che Adams,sct SCO,FW,Southampton,25-037,1996,1.0,1.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4,0.0,0.43,0.43,0.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,57.1,209.0,29.0,7.0,9.0,77.8,4.0,7.0,57.1,1.0,3.0,33.3,0.6,1.0,1.0,0.0,0.0,2.0,18.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,5.0,0.0,16.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,13.0,4.0,30.8,1.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,37.0,3.0,5.0,17.0,15.0,3.0,34.0,1.0,2.0,50.0,1.0,0.0,20.0,45.0,16.0,0.0,0.0,0.0,54.0,19.0,35.2,2.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,10.0,28.6
2,Kristoffer Ajer,no NOR,DF,Brentford,23-124,1998,1.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.36,0.36,0.0,0.36,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,32.0,56.3,320.0,138.0,10.0,11.0,90.9,6.0,12.0,50.0,2.0,6.0,33.3,-0.3,1.0,1.0,0.0,0.0,1.0,28.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,10.0,1.0,20.0,7.0,4.0,0.0,0.0,0.0,1.0,3.0,1.0,1.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,6.0,1.0,16.7,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,36.0,3.0,12.0,18.0,6.0,1.0,32.0,2.0,2.0,100.0,2.0,0.0,22.0,67.0,29.0,2.0,0.0,0.0,19.0,18.0,94.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
3,Nathan Aké,nl NED,DF,Manchester City,26-182,1995,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,-0.2,-0.2,49.0,59.0,83.1,995.0,258.0,13.0,16.0,81.3,30.0,34.0,88.2,6.0,9.0,66.7,0.0,0.0,2.0,0.0,0.0,2.0,59.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,10.0,37.0,16.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,68.0,5.0,33.0,39.0,1.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,44.0,317.0,220.0,5.0,0.0,0.0,52.0,49.0,94.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,100.0
4,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-316,1998,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.05,0.18,0.23,0.05,0.23,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.03,-0.1,-0.1,44.0,58.0,75.9,954.0,442.0,17.0,17.0,100.0,13.0,18.0,72.2,14.0,22.0,63.6,-0.2,3.0,4.0,4.0,2.0,6.0,39.0,19.0,0.0,0.0,11.0,3.0,5.0,4.0,1.0,2.0,0.0,19.0,13.0,26.0,3.0,36.0,2.0,15.0,0.0,0.0,1.0,5.0,1.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,13.0,7.0,53.8,5.0,3.0,5.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,68.0,3.0,14.0,26.0,30.0,1.0,48.0,1.0,5.0,20.0,1.0,0.0,37.0,184.0,122.0,5.0,2.0,0.0,34.0,32.0,94.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,66.7
5,Alisson,br BRA,GK,Liverpool,28-321,1992,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.0,90.0,861.0,569.0,2.0,2.0,100.0,15.0,15.0,100.0,10.0,13.0,76.9,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,9.0,2.0,23.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,27.0,32.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,17.0,47.0,24.0,0.0,0.0,0.0,13.0,13.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
6,Allan,br BRA,MF,Everton,30-223,1991,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,1.0,1.0,1.0,0.0,100.0,1.0,1.0,0.0,0.0,0.02,0.0,0.0,24.0,32.0,75.0,452.0,150.0,7.0,8.0,87.5,13.0,16.0,81.3,2.0,5.0,40.0,0.0,0.0,5.0,0.0,0.0,5.0,27.0,5.0,5.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,1.0,9.0,3.0,28.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,6.0,33.3,4.0,17.0,5.0,29.4,6.0,9.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,45.0,3.0,14.0,26.0,7.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,25.0,129.0,93.0,1.0,0.0,0.0,20.0,20.0,100.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0
7,Dele Alli,eng ENG,MF,Tottenham,25-130,1996,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,21.0,76.2,288.0,110.0,8.0,10.0,80.0,7.0,9.0,77.8,1.0,1.0,100.0,0.0,0.0,1.0,2.0,0.0,4.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,3.0,3.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,5.0,20.0,4.0,19.0,5.0,26.3,12.0,6.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,33.0,2.0,9.0,15.0,12.0,0.0,32.0,1.0,1.0,100.0,1.0,0.0,18.0,69.0,55.0,2.0,1.0,0.0,25.0,17.0,68.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
8,Miguel Almirón,py PAR,MF,Newcastle Utd,27-190,1994,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.08,0.03,0.12,0.08,0.12,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.04,-0.1,-0.1,32.0,34.0,94.1,564.0,81.0,16.0,16.0,100.0,12.0,14.0,85.7,4.0,4.0,100.0,0.0,1.0,1.0,1.0,0.0,2.0,33.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,1.0,1.0,32.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,23.0,5.0,21.7,9.0,10.0,4.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,42.0,1.0,6.0,18.0,22.0,3.0,41.0,0.0,1.0,0.0,0.0,0.0,35.0,272.0,124.0,6.0,2.0,0.0,35.0,30.0,85.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
9,Marcos Alonso,es ESP,DF,Chelsea,30-234,1990,1.0,1.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,1.06,1.06,1.06,0.1,0.1,0.2,0.12,0.17,0.3,0.12,0.3,0.9,3.0,2.0,2.0,66.7,3.18,2.12,0.33,0.5,0.04,0.9,0.9,49.0,57.0,86.0,895.0,191.0,23.0,24.0,95.8,18.0,19.0,94.7,6.0,8.0,75.0,-0.2,2.0,3.0,3.0,2.0,2.0,48.0,9.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,33.0,17.0,7.0,41.0,5.0,0.0,9.0,0.0,0.0,0.0,2.0,3.0,3.0,3.18,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,2.0,2.0,100.0,0.0,10.0,5.0,50.0,1.0,5.0,4.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,67.0,0.0,4.0,21.0,44.0,2.0,56.0,1.0,1.0,100.0,1.0,0.0,43.0,270.0,130.0,10.0,2.0,0.0,51.0,44.0,86.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,66.7
