player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,63.6,126.0,51.0,2.0,2.0,100.0,5.0,5.0,100.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,1.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,12.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,37.0,30.0,0.0,0.0,0.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31,1989,29.0,26.0,2332.0,10.0,3.0,2.0,2.0,2.0,0.0,0.39,0.12,0.5,0.31,0.42,10.6,9.1,2.8,0.41,0.11,0.52,0.35,0.46,25.9,56.0,19.0,0.0,33.9,2.16,0.73,0.14,0.42,0.16,-0.6,-1.1,518.0,691.0,75.0,7883.0,1507.0,289.0,355.0,81.4,183.0,238.0,76.9,28.0,51.0,54.9,0.2,22.0,18.0,27.0,9.0,50.0,670.0,21.0,1.0,6.0,141.0,9.0,47.0,1.0,0.0,0.0,0.0,495.0,102.0,94.0,76.0,564.0,17.0,3.0,9.0,9.0,5.0,16.0,23.0,17.0,5.0,8.0,7.0,2.0,4.0,20.0,20.0,16.0,344.0,83.0,24.1,57.0,144.0,143.0,26.0,2.0,0.0,24.0,6.0,14.0,0.0,903.0,24.0,126.0,366.0,471.0,126.0,881.0,12.0,28.0,42.9,13.0,0.0,606.0,3501.0,2072.0,106.0,35.0,28.0,1252.0,715.0,57.1,32.0,19.0,0.0,13.0,18.0,18.0,0.0,0.0,1.0,84.0,31.0,64.0,32.6
Héctor Bellerín,es ESP,DF,Arsenal,25,1995,25.0,24.0,2089.0,1.0,2.0,0.0,0.0,8.0,0.0,0.04,0.09,0.13,0.04,0.13,0.8,0.8,2.4,0.04,0.1,0.14,0.04,0.14,23.2,15.0,5.0,0.0,33.3,0.65,0.22,0.07,0.2,0.05,0.2,0.2,1079.0,1302.0,82.9,18140.0,5147.0,499.0,576.0,86.6,496.0,573.0,86.6,63.0,101.0,62.4,-0.4,22.0,61.0,29.0,9.0,88.0,1137.0,165.0,9.0,2.0,181.0,14.0,51.0,0.0,0.0,0.0,0.0,853.0,287.0,162.0,107.0,959.0,58.0,156.0,3.0,3.0,17.0,29.0,38.0,34.0,18.0,18.0,13.0,3.0,12.0,41.0,29.3,29.0,223.0,62.0,27.8,87.0,100.0,36.0,50.0,9.0,0.0,41.0,13.0,41.0,0.0,1498.0,56.0,406.0,670.0,502.0,50.0,1336.0,16.0,31.0,51.6,18.0,3.0,933.0,4449.0,2763.0,115.0,33.0,13.0,1056.0,961.0,91.0,16.0,9.0,0.0,21.0,7.0,1.0,1.0,0.0,0.0,208.0,32.0,35.0,47.8
Dani Ceballos,es ESP,MF,Arsenal,23,1996,25.0,17.0,1615.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.17,0.17,0.0,0.17,0.7,0.7,2.9,0.04,0.16,0.2,0.04,0.2,17.9,12.0,2.0,1.0,16.7,0.67,0.11,0.0,0.0,0.06,-0.7,-0.7,1112.0,1286.0,86.5,22027.0,5182.0,415.0,457.0,90.8,511.0,558.0,91.6,172.0,230.0,74.8,0.1,27.0,131.0,22.0,3.0,107.0,1234.0,52.0,26.0,7.0,151.0,45.0,13.0,17.0,6.0,6.0,2.0,967.0,152.0,167.0,73.0,1164.0,31.0,8.0,5.0,1.0,17.0,26.0,28.0,40.0,33.0,19.0,12.0,9.0,13.0,49.0,26.5,36.0,281.0,75.0,26.7,121.0,100.0,60.0,29.0,7.0,1.0,22.0,24.0,21.0,0.0,1462.0,71.0,363.0,863.0,371.0,29.0,1412.0,26.0,36.0,72.2,26.0,4.0,1058.0,6937.0,3720.0,165.0,48.0,2.0,1117.0,1075.0,96.2,13.0,21.0,0.0,22.0,24.0,0.0,0.0,0.0,0.0,196.0,7.0,12.0,36.8
Calum Chambers,eng ENG,DF,Arsenal,25,1995,10.0,8.0,753.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,0.6,0.6,1.1,0.07,0.14,0.21,0.07,0.21,8.4,8.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.07,-0.6,-0.6,462.0,575.0,80.3,8301.0,2388.0,206.0,231.0,89.2,204.0,241.0,84.6,47.0,85.0,55.3,0.9,11.0,24.0,9.0,5.0,23.0,488.0,87.0,8.0,1.0,58.0,8.0,27.0,0.0,0.0,0.0,0.0,366.0,105.0,104.0,28.0,427.0,30.0,79.0,0.0,1.0,6.0,10.0,17.0,9.0,3.0,4.0,3.0,2.0,3.0,10.0,30.0,7.0,95.0,28.0,29.5,50.0,30.0,15.0,16.0,3.0,0.0,13.0,14.0,45.0,0.0,678.0,43.0,250.0,276.0,191.0,23.0,592.0,3.0,8.0,37.5,3.0,2.0,391.0,1579.0,963.0,33.0,15.0,1.0,437.0,405.0,92.7,6.0,5.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,94.0,23.0,17.0,57.5
Gabriel Dos Santos,br BRA,DF,Arsenal,22,1997,23.0,22.0,1996.0,2.0,0.0,0.0,0.0,4.0,1.0,0.09,0.0,0.09,0.09,0.09,1.0,1.0,0.1,0.05,0.0,0.05,0.05,0.05,22.2,16.0,4.0,0.0,25.0,0.72,0.18,0.13,0.5,0.06,1.0,1.0,1283.0,1492.0,86.0,27010.0,7820.0,378.0,414.0,91.3,675.0,722.0,93.5,217.0,330.0,65.8,-0.1,2.0,82.0,3.0,2.0,53.0,1463.0,29.0,28.0,0.0,133.0,29.0,3.0,0.0,0.0,0.0,0.0,1170.0,122.0,200.0,1312.0,102.0,38.0,1.0,5.0,4.0,24.0,23.0,16.0,28.0,17.0,22.0,5.0,1.0,9.0,17.0,52.9,8.0,151.0,55.0,36.4,95.0,49.0,7.0,41.0,23.0,0.0,18.0,23.0,106.0,2.0,1726.0,261.0,926.0,862.0,59.0,25.0,1701.0,4.0,9.0,44.4,5.0,0.0,1223.0,7643.0,4366.0,111.0,6.0,2.0,1335.0,1305.0,97.8,3.0,4.0,1.0,24.0,26.0,0.0,0.0,1.0,0.0,177.0,69.0,45.0,60.5
Mohamed Elneny,eg EGY,MF,Arsenal,28,1992,23.0,17.0,1544.0,1.0,0.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06,0.5,0.5,0.2,0.03,0.01,0.04,0.03,0.04,17.2,9.0,2.0,0.0,22.2,0.52,0.12,0.11,0.5,0.06,0.5,0.5,937.0,1003.0,93.4,18475.0,3672.0,334.0,351.0,95.2,458.0,476.0,96.2,136.0,157.0,86.6,-0.2,4.0,77.0,9.0,0.0,60.0,981.0,22.0,20.0,1.0,119.0,24.0,3.0,0.0,0.0,0.0,0.0,836.0,83.0,84.0,65.0,889.0,39.0,2.0,5.0,3.0,8.0,4.0,9.0,16.0,11.0,9.0,7.0,0.0,5.0,19.0,26.3,14.0,197.0,57.0,28.9,71.0,91.0,35.0,18.0,4.0,0.0,14.0,20.0,24.0,1.0,1102.0,74.0,342.0,675.0,150.0,5.0,1082.0,7.0,9.0,77.8,7.0,1.0,837.0,3937.0,1981.0,70.0,17.0,0.0,882.0,845.0,95.8,5.0,7.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,144.0,8.0,19.0,29.6
Rob Holding,eng ENG,DF,Arsenal,24,1995,30.0,28.0,2558.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.04,0.04,0.0,0.04,1.1,1.1,0.2,0.04,0.01,0.05,0.04,0.05,28.4,14.0,2.0,0.0,14.3,0.49,0.07,0.0,0.0,0.08,-1.1,-1.1,1578.0,1768.0,89.3,35516.0,9876.0,393.0,412.0,95.4,861.0,919.0,93.7,319.0,423.0,75.4,0.8,4.0,120.0,6.0,0.0,101.0,1724.0,44.0,33.0,0.0,126.0,60.0,3.0,0.0,0.0,0.0,0.0,1405.0,120.0,243.0,197.0,1461.0,66.0,11.0,6.0,2.0,34.0,16.0,9.0,39.0,21.0,26.0,8.0,5.0,9.0,27.0,33.3,18.0,296.0,89.0,30.1,172.0,108.0,16.0,54.0,31.0,0.0,23.0,23.0,157.0,0.0,2069.0,325.0,1110.0,1024.0,75.0,20.0,2025.0,9.0,12.0,75.0,9.0,1.0,1418.0,7286.0,4317.0,105.0,8.0,0.0,1519.0,1479.0,97.4,3.0,8.0,0.0,24.0,5.0,2.0,0.0,0.0,1.0,248.0,70.0,55.0,56.0
Sead Kolašinac,ba BIH,DF,Arsenal,27,1993,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,64.0,84.4,801.0,177.0,30.0,35.0,85.7,22.0,24.0,91.7,1.0,3.0,33.3,0.0,0.0,3.0,1.0,0.0,4.0,60.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,9.0,6.0,54.0,2.0,4.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,14.0,36.0,18.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,51.0,170.0,113.0,5.0,1.0,0.0,52.0,50.0,96.2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,50.0
Alexandre Lacazette,fr FRA,FW,Arsenal,29,1991,31.0,22.0,1923.0,13.0,2.0,3.0,3.0,3.0,0.0,0.61,0.09,0.7,0.47,0.56,9.7,7.4,2.7,0.46,0.13,0.58,0.35,0.47,21.4,43.0,25.0,3.0,58.1,2.01,1.17,0.23,0.4,0.17,3.3,2.6,410.0,524.0,78.2,6066.0,1247.0,225.0,283.0,79.5,135.0,158.0,85.4,27.0,44.0,61.4,-0.7,18.0,24.0,21.0,0.0,46.0,486.0,38.0,2.0,4.0,119.0,6.0,4.0,0.0,0.0,0.0,0.0,382.0,83.0,59.0,54.0,421.0,23.0,0.0,3.0,5.0,11.0,9.0,19.0,25.0,19.0,6.0,12.0,7.0,4.0,16.0,25.0,12.0,329.0,107.0,32.5,40.0,135.0,154.0,17.0,2.0,0.0,15.0,14.0,13.0,0.0,761.0,13.0,91.0,352.0,350.0,102.0,722.0,20.0,33.0,60.6,22.0,1.0,495.0,1654.0,665.0,37.0,10.0,6.0,914.0,536.0,58.6,33.0,32.0,0.0,37.0,54.0,10.0,1.0,0.0,0.0,99.0,30.0,61.0,33.0
